Date,kpi,ppi,unemployment,oil_price_nok,usd_nok,import_val,eksport_val,styringsrente,eur_nok,boligpris_idx,toll_rate_avg
2019-07-01,111.4,107.16253443526172,3.9,555.11068,8.5336,61726071812.799995,68803259368,1.25,9.6587,0.86,21.52709137853654
2019-08-01,110.6,106.8870523415978,4.2,526.738425,8.8901,61256878446,68495642371,1.25,9.9742,0.8006666666666666,21.52709137853654
2019-09-01,111.1,106.8870523415978,3.6,526.738425,8.8901,66092721609.00001,72535724373.90001,1.33,9.9203,0.7413333333333334,21.52709137853654
2019-10-01,111.3,107.02479338842976,4.3,544.1338539999999,9.1267,60380896448.399994,69359050279.2,1.5,10.1165,0.682,21.52709137853654
2019-11-01,111.6,108.81542699724518,4,551.941005,9.1245,60517954265.99999,81783477468,1.5,10.1087,0.3983333333333334,21.527481198787907
2019-12-01,111.3,113.36088154269972,4.1,595.738605,9.1245,64482807039,81413502732,1.5,10.0498,0.1146666666666667,21.527481198787907
2020-01-01,111.3,111.84573002754823,4.1,516.62919,9.1245,64093195917.700005,71910762363.59999,1.5,9.9384,-0.169,21.516112412177634
2020-02-01,111.2,108.1267217630854,3.6,453.213915,9.1245,65279528998,75387282723.80002,1.5,10.1327,0.283,21.516112412177634
2020-03-01,111.2,100,3.5,240.430575,9.1245,57808658588,55356276155.6,0.99,11.2943,0.735,21.516112412177634
2020-04-01,111.7,96.69421487603307,4.1,272.84992,10.304,58214189376,54038287296,0.25,11.3429,1.187,21.516112412177634
2020-05-01,111.9,94.0771349862259,4.9,389.90336,10.304,60580069060.8,56945358905.600006,0.05,10.9906,1.825,21.516112412177634
2020-06-01,112.1,92.83746556473831,5,425.24608000000006,10.304,63482022812.5,60508493125,0,10.727,2.463,21.516112412177634
2020-07-01,112.9,92.83746556473831,5.9,418.63193600000005,9.6193,66183092632.00001,63206102048.700005,0,10.6544,3.101,21.516112412177634
2020-08-01,112.5,94.0771349862259,5.2,439.217238,9.6193,69037253718.79999,63837110146.299995,0,10.5797,3.2056666666666667,21.516112412177634
2020-09-01,112.9,96.55647382920111,5.2,368.33147999999994,8.7076,61179937196.399994,62440788968.799995,0,10.7769,3.3103333333333333,21.516112412177634
